2024-10-24T13:03:38.007187458Z I1024 13:03:38.007120       1 configmap.go:109] updating configmap openshift-controller-manager/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:38.204352799Z I1024 13:03:38.204300       1 configmap.go:109] updating configmap openshift-dns-operator/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:38.405686789Z I1024 13:03:38.405326       1 configmap.go:109] updating configmap openshift-e2e-loki/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:38.604667649Z I1024 13:03:38.604588       1 configmap.go:109] updating configmap openshift-etcd-operator/etcd-service-ca-bundle with the service signing CA bundle
2024-10-24T13:03:38.805058970Z I1024 13:03:38.804918       1 configmap.go:109] updating configmap openshift-etcd-operator/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:39.005977420Z I1024 13:03:39.005872       1 configmap.go:109] updating configmap openshift-etcd/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:39.207113581Z I1024 13:03:39.207047       1 configmap.go:109] updating configmap openshift-host-network/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:39.424754548Z I1024 13:03:39.424684       1 configmap.go:109] updating configmap openshift-image-registry/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:39.610263901Z I1024 13:03:39.610151       1 configmap.go:109] updating configmap openshift-infra/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:39.808114092Z I1024 13:03:39.808046       1 configmap.go:109] updating configmap openshift-ingress-operator/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:40.004263063Z I1024 13:03:40.004206       1 configmap.go:109] updating configmap openshift-insights/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:40.212267012Z I1024 13:03:40.212203       1 configmap.go:109] updating configmap openshift-insights/service-ca-bundle with the service signing CA bundle
2024-10-24T13:03:40.405088263Z I1024 13:03:40.405020       1 configmap.go:109] updating configmap openshift-kni-infra/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:40.608179494Z I1024 13:03:40.608114       1 configmap.go:109] updating configmap openshift-kube-apiserver-operator/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:40.806753371Z I1024 13:03:40.806683       1 configmap.go:109] updating configmap openshift-kube-apiserver/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:41.009331938Z I1024 13:03:41.009219       1 configmap.go:109] updating configmap openshift-kube-controller-manager-operator/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:41.209505514Z I1024 13:03:41.209411       1 configmap.go:109] updating configmap openshift-kube-controller-manager/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:41.406528460Z I1024 13:03:41.406445       1 configmap.go:109] updating configmap openshift-kube-scheduler-operator/openshift-service-ca.crt with the service signing CA bundle
